Asthma,Total local tax,Acquisition tax,Automobile tax,Region development tax,Urban planning tax,local education tax,licence tax,property tax,revenue tax for previous year,local income tax,residence tax,Marriage rate,Birthrate,Divorce rate,The number of people living with dementia,The number of people who smoked,The number of current smokers,The number of people that drinks alcohol,The number of people who are drunk,The number of people who took consultant about one's drinking problem,The number of people who participated in exercise programs in a community,Weight control: exercise,Weight control: fasting,Weight control: dietary treatment,Weight control: diet pills with no prescription,Weight control: diet pills with prescription,The number of people who brushes their teeth after lunch,The number of people who neglected mandatory dental treatment,The number of people with experience with oral treatment,The number of people with experience with teeth scaling,The number of people who had stress counselling,The number of people who experienced depression,The number of people who had counselling about depression,The number of people who received influenza vaccination,The number of people who experienced with health checkup,The number of people who experienced with acute disease and addiction to an accident,The number of people who experienced with medical services (without dental clinic),The number of people who experienced with damage cause,The number of people who experienced with lying sick in bed,The number of economically active person,The number of people who enrolled in a private medicare,The number of people that visited health center,Averagee age that started smoking,The average smoking amount per day with everyday smokers,The average smoking days per month with random smokers,The average smoking amoung per day with random smokers,The number of years for smoking _ former smokers,The number of months for smoking _ former smokers,The average smoking amount per day _ former smokers,Average age that started drinking,Drinking frequency,The amount of drinking per day,High risk drinking rate (Male),High risk drinking rate (Female),The number of people who experienced with failure of drinking control,The number of people who experienced with difficulties in daily life after drinking,The number of people who experienced with blacked out after drinking,The number of days with heavy work outs,Hours with heavy work outs,The average minutes with heavy work outs,The number of days with regular work outs,Hours with regular work outs,Average minutes with regular work outs,The number of days with walking,The average hours for walking,The average minutes for walking,Accessability to fitness center,The number of days with breakfast in a week,Low salt preference _ the average amount of natrium consume,Low salt preference _ adding salt to meals,Low salt preference _ adding soy sauce to fried meals,The number of people who chekcs nutrient balance,Self-recognition of body shape,The number of people who experiences in diet control,Average height,Average weight,Self-rated dental health,The number of people who has difficulties with mastication,The number of people who has difficulties with pronunciation,Average sleeping time,Self-rated stress amount,Self-rated health condition,EQ-5D: exercise capacity,EQ-5D: self-care,EQ-5D: daily activities,EQ-5D: pain/discomfort,EQ-5D: anxiety/depression,EQ-VAS (0~100 오늘의 건강상태),Job categories: employer / owner,Job categories: employee,Job categories: unpaid family worker,Marital status: live together,Marital status: separated,Marital status: widowed,Marital status: divorced,Residence period less than 5 years in a city,Residence period less than 5~10 years in a city,Residence period less than 10~15 years in a city,Residence period less than 15~20 years in a city,Residence period more than 20 years in a city,monthly income
0.215287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200987,"0.052777096","0.112547587","0.029476774","0.029752522","0.013632839","0.021319894","0.123255349","0.066693597","0.175818865","0.020938795","0.430540577","0.783796876","0.446570576","0.323598996","0","0.382906516","0.370741949","0.744203107","0.775951021","0.054987674","0.351069435","0.758982366","0.327586208","0.779918699","0.18406522","0.387113914","0.862692594","0.514825552","0.650941281","0.652363259","0.660335551","0.393776551","0.441271558","0.175434761","0.522077257","0.170084847","0.375420362","0.281344475","0.60655682","0.377424151","0.58434595","0.892708835","0.256298444","0.351399734","0.468","0.281432749","0.24440367","0.135980505","0.266244969","0.163556727","0.335124828","0.543819701","0.530282942","0.595873028","0.332401653","0.293828034","0.511990403","0.185446667","0.104222223","0.778873775","0.257593293","0.090938698","0.839305643","0.70386724","0.117213377","0.528698894","0.244318137","0.202473207","0.421026088","0.749475177","0.395682463","0.118037677","0.802517676","0.243445959","0.769808706","0.71230865","0.285582588","0.706595571","0.91674279","0.295081966","0.139714386","0.215287593","0.148469738","0.106810605","0.079583475","0.181141433","0.458458375","0.828942852","0.08672127","0.824056916","0.030485032","0.335919883","0.134467121","0.138992683","0.347879311","0.181165759","0.249369031","0.25718389","0.170829093","0.780664091","0.55130734"
0.153926,"0.034131357","0.089554811","0.01904257","0.023035709","0.013141545","0.01517037","0.062423947","0.040687712","0.170032003","0.012180494","0.404368972","0.684772833","0.400670454","0.280803597","0.439818873","0.57438605","0.49971337","0.841729063","0.863835525","0.138815472","0.295718812","0.788827861","0.435255712","0.823859108","0.61955933","0.234536089","0.873685431","0.402237696","0.810528098","0.716601603","0.48216921","0.324728029","0.544613705","0.190173107","0.621612199","0.135770025","0.2601308","0.223675923","0.342937754","0.468964606","0.818754338","0.813313452","0.22047372","0.477380179","0.5304","0.380701755","0.229293855","0.137136628","0.227487229","0.182281014","0.366175077","0.630732222","0.602415689","0.591845916","0.409629476","0.390235079","0.442287555","0.349256294","0.116792897","0.572185696","0.201433323","0.099362216","0.645116471","0.902759756","0.265674164","0.368666144","0.047826662","0.110940112","0.41077422","0.607270866","0.453398959","0.310990797","0.640697853","0.164333754","0.883920586","0.875298385","0.318743091","0.774144169","0.925641133","0.219971962","0.173308581","0.222186069","0.101722693","0.081428924","0.060447904","0.222896556","0.398854536","0.943582106","0.184514175","0.8017858","0.013272909","0.335202289","0.49087124","0","0.140519383","0.239488919","0.431068515","0.29197329","0.123058764","0.723556455","0.575172501"
0.110635,"0.043340674","0.104344632","0.027804153","0.022541215","0.014207104","0.023788742","0.083099336","0.055098897","0.177562247","0.0097777","0.395984118","0.601145768","0.469514332","0.357479963","0.251051885","0.588406709","0.439862848","0.824053938","0.836278479","0.166397512","0.30126465","0.710828366","0.57391304","0.751376671","0.371331524","0.328152723","0.735603943","0.666531903","0.788702468","0.777206266","0.777813485","0.43849329","0.54402175","0.184468856","0.645370199","0.271812083","0.471570471","0.227708499","0.547777141","0.381231057","0.880080704","0.870414874","0.217294009","0.400687967","0.372571429","0.251461988","0.175381769","0.106632194","0.1620259","0.127692724","0.448883027","0.63990922","0.660317087","0.470974033","0.479233519","0.499891717","0.692544625","0.251468186","0.196514437","0.507339925","0.128986428","0.061743506","0.761824142","0.707055247","0.247424046","0.439105138","0.297508441","0.144405836","0.380401682","0.76816967","0.396351447","0.228398307","0.866184875","0.151483658","0.789417057","0.772718053","0.354641715","0.724129809","0.887485181","0.222323458","0.032830471","0.345158004","0.168965064","0.092099044","0.154264444","0.391813939","0.780893614","0.869157107","0.147905764","0.772330988","0.030864787","0.49197473","0.411602084","0.058536593","0.352079984","0.162705481","0.227399346","0.339491787","0.207933822","0.757042257","0.589759321"
0.186127,"0.077320001","0.116532437","0.055902833","0.034721506","0.010468787","0.038215175","0.123860457","0.133508757","0.186539035","0.025619266","0.37789059","0.671504331","0.531647869","0.234020862","0.46919231","0.513579118","0.37744194","0.921399983","0.91047635","0.331713346","0.39453241","0.930081266","0.294691232","0.932357534","0.123374854","0.420583647","0.812893719","0.515262223","1","0.837943001","0.885777354","0.501911251","0.542253529","0.225595396","0.722793078","0.179427309","0.560722935","0.161253155","0.319521262","0.35855965","0.760126581","0.904986971","0.367478268","0.320987483","0.246","0.133040936","0.143398498","0.052040816","0.197526337","0.08679176","0.164816109","0.53765074","0.507171584","0.48190379","0.308536037","0.432956008","0.508974914","0.231961464","0.058335736","0.664098708","0.145903042","0.040188091","0.88807424","0.864947895","0.152275609","0.470652895","0.122704134","0.026270791","0.486541331","0.71571802","0.387729318","0.022178782","0.915085654","0.075465577","0.867553603","0.835860006","0.317708242","0.757298877","0.931411699","0.135318786","0","0.284090587","0.038676561","0.042970944","0.023311716","0.163407716","0.466000768","0.907905701","0.135579074","0.781596736","0.026330768","0.46960434","0.488397469","0.067529299","0.139324498","0.217944413","0.29397223","0.343583371","0.2569247","0.708579174","0.768610594"
0.249690,"0.379549201","0.672190484","0.112302416","0.095788009","0.01978081","0.114653729","0.563266679","0.407823647","0.27826486","0.227345066","0.174625688","0.591717598","0.423321169","0.173360199","0.12444383","0.303762101","0.160989266","0.65504927","0.696955589","0.137469211","0.415621745","0.93595313","0.655172416","0.787239886","0.306775329","0.736226237","0.971907918","0.338491951","0.899062446","1","0.660335551","0.377605398","0.294181023","0.081425685","0.634479092","0.106700036","0.289483087","0.081812609","0.392304402","0.17004778","0.619134715","0.99301184","0.223403124","0.171453444","0.3648","0.302923977","0.220047068","0.196648186","0.27517147","0","0.175521552","0.44712058","0.392737063","0.542555216","0.198607756","0.426001422","0.445378845","0.260568314","0.091614518","0.598369566","0.153279428","0.046432083","0.810069731","0.873412202","0.162000342","0.512634833","0.114150508","0.329421898","0.65931645","0.674686182","0.407809046","0.284631748","0.59780755","0.050413841","0.871243766","0.496095146","0.088843818","0.836597138","0.919915468","0.24414879","0.058768624","0.056992975","0.045545603","0.036989066","0.007108276","0.145579817","0.281920066","0.930947558","0.144621174","0.650973147","0.017383477","0.186440595","0.485335239","0.071066988","0.347879311","0.307530765","0.279882485","0.531390687","0.250215952","0.634470752","0.829914324"
0.227751,"0.242430155","0.400030455","0.112928662","0.071603676","0.026205056","0.080034221","0.375469346","0.302797358","0.229407931","0.132953418","0.423934903","0.720882073","0.588373398","0.130373674","0.188288914","0.173277046","0.096962813","0.664429806","0.719098554","0.471459631","0.22431217","0.8695036","0.4","1","0.123777175","0.547267089","0.91407128","0.44147578","0.972240209","0.879671755","0.629689142","0.324310922","0.593478248","0.147997107","0.638891385","0.057765521","0.327096216","0.140201142","0.428913623","0.168177721","0.737376181","0.914870645","0.233278336","0.250670673","0.310153846","0.38731444","0","0.214331897","0","0.004720258","0.181511184","0.497250417","0.387174183","0.39864764","0.177525326","0.431830376","0.453539231","0.484675031","0.029949191","0.719649376","0.322337045","0","0.90378508","0.775836085","0","0.607830633","0.104659947","0.15310844","0.714434045","0.479803891","0.388104338","0","0.72446546","0.107062976","0.971344812","0.743132672","0.155070988","0.762614205","0.844281584","0.17652472","0.045119831","0.18016454","0.002854464","0.010835181","0.008053604","0.150682136","0.42152966","0.887117802","0.097845723","0.677334115","0.026459629","0.381107739","0.391939919","0.078112695","0.224963806","0.412534591","0.307424197","0.307577413","0.21794347","0.669767299","1"
0.305166,"0.012415426","0.034397589","0.004326586","0.020503796","0.013267691","0.007973959","0.019410913","0.013000224","0.163207708","0.003264428","0.395937952","0.846041445","0.384583853","0.311849341","0.50210377","0.636306287","0.439862848","0.830798618","0.808155298","0.055465837","0.247989855","0.757935074","0.608695648","0.726760501","0.309442965","0.187293492","0.82153266","0.804469527","0.832501247","0.724835017","0.703751314","0.340622689","0.54402175","0.247686552","0.528751555","0.260692781","0.591965686","0.24958534","0.526165594","0.268893843","0.667193629","0.836689805","0.229657392","0.293820338","0.417882353","0.185414517","0.338995498","0.1434375","0.324132404","0.21264082","0.226163129","0.556002464","0.504799976","0.508281633","0.100311546","0.226586717","0.409099897","0.186320787","0.129969719","0.570605199","0.191224472","0.058989729","0.794769276","0.92933334","0.266974191","0.490867662","0.325661315","0.166162345","0.264070717","0.892197049","0.466527404","0.443325271","0.78868207","0.191462272","0.713917309","0.767756564","0.532909948","0.771878967","0.873884049","0.195843914","0.249184465","0.413018219","0.153392196","0.081263863","0.075937207","0.240359252","0.197510573","0.856727019","0.056129021","0.795438334","0.022054467","0.20815523","0.29362904","0.117264898","0.585126321","0.330957739","0.307424197","0.291620231","0.147875933","0.719423741","0.449441264"
0.260236,"0.03314506","0.106065733","0.018099857","0.01953307","0.01347362","0.013683618","0.05159728","0.031290515","0.168279907","0.011256846","0.395589067","0.762292445","0.463092842","0.226460567","0.753155683","0.47664103","0.162624524","0.846536209","0.791750108","0.194130444","0.372297705","0.800083184","0.434782608","0.825225185","0.123777175","0.242072078","0.854582168","0.688311531","0.694847939","0.70661893","0.777813485","0.748416868","0.69239129","0.361964699","0.703679524","0.366326149","0.413780769","0.214582397","0.699057977","0.179798811","0.653157119","0.830557974","0.382934675","0.252448479","0.373333333","0.286549708","0.286206354","0.105913766","0.438113258","0.179529324","0.157772693","0.476428411","0.557359006","0.461937015","0.386071834","0.606808051","0.635491321","0.204295427","0.136547317","0.700564078","0.234696132","0.102730255","0.715149675","0.778153025","0.186279977","0.519652392","0.333234471","0.269350356","0.456360677","0.862788495","0.34852449","0.151823446","0.86397051","0.156666071","0.649167843","0.754223682","0.460032997","0.695622849","0.961891376","0.070836801","0.171780639","0.439630068","0.241638453","0.184198089","0.15948626","0.421706312","0.836898385","0.808960492","0.081159043","0.718413844","0.017649309","0.425454535","0.175655995","0.210251384","0.288521885","0.234085226","0.196620555","0.259705863","0.167895233","0.778108626","0.63442301"
0.033277,"0.18451149","0.269590587","0.048924113","0.057284402","0.014179764","0.054136164","0.256758563","0.098431378","0.201873044","0.143788694","0.393799741","0.745514713","0.500150834","0.398521965","0.439340798","0.460674503","0.104258555","0.918479479","0.890181245","0.22186335","0.47292787","0.956279118","0.260869568","0.879380761","0.061888616","0.429884393","0.764246849","0.771800092","0.680248345","0.661078714","0.481564799","0.723949214","0.395652166","0.276863953","0.723115964","0.249573479","0.457123048","0.24520997","0.55858291","0.373483663","0.828613498","0.91180473","0.123638018","0.295079905","0.375529412","0.180598555","0.211821205","0.092727273","0.39718512","0.142495556","0.190417549","0.541774568","0.585945751","0.516509563","0.216609547","0.377021473","0.571659369","0.23091466","0.144871978","0.526272754","0.18098485","0.048014242","0.900337248","0.903267768","0.145042039","0.523820344","0.246578595","0.325917278","0.405758056","0.871738925","0.457513258","0.269336777","0.837398118","0.092442175","0.789034166","0.853251344","0.493668513","0.574468269","0.909887046","0.128084425","0.195236343","0.346488597","0.220874626","0.097516633","0.12293355","0.310108122","0.514870948","0.927123061","0.12009463","0.790303368","0.048485427","0.443193253","0.234642508","0.117264898","0.288521885","0.22388812","0.252022376","0.312896477","0.162890407","0.754032776","0.647868869"
